Cognome e nome,Tipo elezione,Coalizione,FACEBOOK,FACEBOOK NAME,INSTAGRAM
BILLI SIMONE,Camera Estero,CENTRODESTRA,https://www.facebook.com/SimoneBilli.EU,Simone Billi,https://www.instagram.com/billi.simone/
CARE' NICOLA,Camera Estero,CENTROSINISTRA,https://www.facebook.com/withnicholascare,Nicola Carè,
DI GIUSEPPE ANDREA,Camera Estero,CENTRODESTRA,https://www.facebook.com/adg.iovoto,Andrea Di Giuseppe,
DI SANZO CHRISTIAN DIEGO,Camera Estero,CENTROSINISTRA,https://www.facebook.com/cddisanzo,Christian Di Sanzo - Deputato della Repubblica,
ONORI FEDERICA,Camera Estero,MOVIMENTO 5 STELLE,https://www.facebook.com/onorifederica,Federica Onori,
PORTA FABIO,Camera Estero,CENTROSINISTRA,https://www.facebook.com/fabioporta.it,Fabio Porta,
RICCIARDI TONI,Camera Estero,CENTROSINISTRA,https://www.facebook.com/ToniRicciardi2022,Toni Ricciardi - politiche 2022,
TIRELLI FRANCO,Camera Estero,ALTRO,https://www.facebook.com/francotirellimaie,Franco Tirelli - MAIE con Merlo,
AIELLO DAVIDE,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/DavideAielloM5S,Davide Aiello,https://www.instagram.com/davide.aiello/
ALBANO LUCIA,Camera Italia,CENTRODESTRA,https://www.facebook.com/luciaalbanoFDI,Lucia Albano,https://www.instagram.com/luciaalbanofdi/
ALIFANO ENRICA,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/enrica.alifano.3,Enrica Alifano,
AMATO GAETANO,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/profile.php?id=100057838491067,Gaetano Amato Attore Scrittore,
AMBROSI ALESSIA,Camera Italia,CENTRODESTRA,https://www.facebook.com/ambrosi.alessia,Alessia Ambrosi,https://www.instagram.com/alessiaambrosiofficial/
AMENDOLA VINCENZO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/en.amendola,Enzo Amendola,
ANDREUZZA GIORGIA,Camera Italia,CENTRODESTRA,https://www.facebook.com/GiorgiaAndreuzzaDeputato,Giorgia Andreuzza,https://www.instagram.com/giorgiaandreuzza/
ANGELUCCI ANTONIO,Camera Italia,CENTRODESTRA,https://www.facebook.com/profile.php?id=100057841338464,Antonio Angelucci,
ANTONIOZZI ALFREDO,Camera Italia,CENTRODESTRA,https://www.facebook.com/profile.php?id=100057886069824,Alfredo ANTONIOZZI,
APPENDINO CHIARA,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/chiara.appendino.torino,Chiara Appendino,https://www.instagram.com/chiara_appendino/
ARRUZZOLO GIOVANNI,Camera Italia,CENTRODESTRA,https://www.facebook.com/profile.php?id=100063658101494,Giovanni Arruzzolo,
ASCANI ANNA,Camera Italia,CENTROSINISTRA,https://www.facebook.com/AnnaAscaniPD,Anna Ascani,https://www.instagram.com/annaascani/
ASCARI STEFANIA,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/StefaniaAscariM5S,Stefania Ascari,https://www.instagram.com/stefaniaascari3/
AURIEMMA CARMELA,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/avv.Carmela.Auriemma,Carmela Auriemma,https://www.instagram.com/avv.auriemma_carmela/
BAGNAI ALBERTO,Camera Italia,CENTRODESTRA,https://www.facebook.com/AlbertoBagnai,Alberto Bagnai,https://www.instagram.com/alberto.bagnai/
BAGNASCO ROBERTO,Camera Italia,CENTRODESTRA,https://www.facebook.com/RobertoBagnascoPolitiche2018,Roberto Bagnasco in Parlamento,https://www.instagram.com/roberto_bagnasco/
BAKKALI OUIDAD,Camera Italia,CENTROSINISTRA,https://www.facebook.com/ouibakkali,Ouidad Bakkali,https://www.instagram.com/ouidadbakkali/
BALDELLI ANTONIO,Camera Italia,CENTRODESTRA,https://www.facebook.com/AntonioBaldelliPage,Antonio Baldelli Page,https://www.instagram.com/antoniobaldelli/
BALDINO VITTORIA,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/vittoria.baldino.M5S,Vittoria Baldino,https://www.instagram.com/vittoria_baldino/
BARABOTTI ANDREA,Camera Italia,CENTRODESTRA,https://www.facebook.com/a.barabotti,Andrea Barabotti,https://www.instagram.com/a.barabotti/
BARBAGALLO ANTHONY EMANUELE,Camera Italia,CENTROSINISTRA,https://www.facebook.com/barbagalloanthony,Anthony Emanuele Barbagallo,https://www.instagram.com/anthonybarbagallopd/
BARELLI PAOLO,Camera Italia,CENTRODESTRA,,,
BATTILOCCHIO ALESSANDRO,Camera Italia,CENTRODESTRA,https://www.facebook.com/AlessandroBattilocchio1,Alessandro Battilocchio,https://www.instagram.com/alessandro_battilocchio/
BATTISTONI FRANCESCO,Camera Italia,CENTRODESTRA,https://www.facebook.com/francescobattistoni.eu,Francesco Battistoni,
BELLOMO DAVIDE,Camera Italia,CENTRODESTRA,https://www.facebook.com/Dav.Bellomo,Davide Bellomo,https://www.instagram.com/dav_bellomo/
BENIGNI STEFANO,Camera Italia,CENTRODESTRA,https://www.facebook.com/benignistefano,Stefano Benigni,https://www.instagram.com/stefanobenigni/
BENVENUTI GOSTOLI STEFANO MARIA,Camera Italia,CENTRODESTRA,https://www.facebook.com/stefano.b.gostoli,Stefano Benvenuti Gostoli,https://www.instagram.com/stefano_benvenuti_gostoli/
BENZONI FABRIZIO,Camera Italia,TERZO POLO,https://www.facebook.com/benzosindaco,Fabrizio Benzoni,
BERGAMINI DAVIDE,Camera Italia,CENTRODESTRA,https://www.facebook.com/DavideBergaminiCameraDeputati,Davide Bergamini,
BERGAMINI DEBORAH,Camera Italia,CENTRODESTRA,https://www.facebook.com/deborah.bergamini,Deborah Bergamini,
BERRUTO MAURO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/mauro.berruto,Mauro Berruto,https://www.instagram.com/mauroberruto/
BICCHIELLI GIUSEPPE,Camera Italia,CENTRODESTRA,https://www.facebook.com/pinobicchi,Pino Bicchielli,https://www.instagram.com/pinobicchielli/
BIGNAMI GALEAZZO,Camera Italia,CENTRODESTRA,https://www.facebook.com/GaleazzoBignami,Galeazzo Bignami,https://www.instagram.com/galeazzo_bignami/
BISA INGRID,Camera Italia,CENTRODESTRA,https://www.facebook.com/IngridBisa,Ingrid Bisa,https://www.instagram.com/ingridbisa/
BITONCI MASSIMO,Camera Italia,CENTRODESTRA,https://www.facebook.com/massimobitonci,Massimo Bitonci,https://www.instagram.com/massimobitonci/
BOLDRINI LAURA,Camera Italia,CENTROSINISTRA,https://www.facebook.com/lauraboldriniofficial,Laura Boldrini,https://www.instagram.com/l_boldrini/
BONAFE' SIMONA,Camera Italia,CENTROSINISTRA,https://www.facebook.com/bonafesimona,Simona Bonafè,https://www.instagram.com/simona_bonafe/
BONELLI ANGELO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/AngeloBonelli.EuropaVerde,Angelo Bonelli,https://www.instagram.com/bonelli.angelo/
BONETTI ELENA,Camera Italia,TERZO POLO,https://www.facebook.com/elenabonetti,Elena Bonetti,https://www.instagram.com/elenabonetti/
BONIFAZI FRANCESCO,Camera Italia,TERZO POLO,https://www.facebook.com/FrancescoBonifaziIV,Francesco Bonifazi,
BORDONALI SIMONA,Camera Italia,CENTRODESTRA,https://www.facebook.com/simonabordonali1,Simona Bordonali,https://www.instagram.com/bordonalis/
BORDONALI SIMONA,Camera Italia,CENTRODESTRA,https://www.facebook.com/simonabordonali1,Simona Bordonali,https://www.instagram.com/bordonalis/
BORRELLI FRANCESCO EMILIO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/francescoemilio.borrelli,Francesco Emilio Borrelli,
BOSCHI MARIA ELENA,Camera Italia,TERZO POLO,https://www.facebook.com/boschimariaelena,Maria Elena Boschi,https://www.instagram.com/mariaelenaboschi_official/
BOSSI UMBERTO,Camera Italia,CENTRODESTRA,,,
BRAGA CHIARA,Camera Italia,CENTROSINISTRA,https://www.facebook.com/bragachiara,Chiara Braga,
BRAMBILLA MICHELA VITTORIA,Camera Italia,CENTRODESTRA,https://www.facebook.com/michelavittoriabrambilla,Michela Vittoria Brambilla,https://www.instagram.com/michelavittoriabrambilla/
BRUNO RAFFAELE,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/raffaeleantoniobruno,Raffaele bruno,
BRUZZONE FRANCESCO,Camera Italia,CENTRODESTRA,https://www.facebook.com/FrancescoBruzzoneLega,Francesco Bruzzone,
BUONGUERRIERI ALICE,Camera Italia,CENTRODESTRA,https://www.facebook.com/alice.buonguerrieri,Alice Buonguerrieri,https://www.instagram.com/alicebuonguerrieri/
CAFIERO DE RAHO FEDERICO,Camera Italia,MOVIMENTO 5 STELLE,,,
CAIATA SALVATORE,Camera Italia,CENTRODESTRA,https://www.facebook.com/SalvatoreCaiataDeputato,Salvatore Caiata,
CALDERONE TOMMASO ANTONINO,Camera Italia,CENTRODESTRA,https://www.facebook.com/tommasocalderonefanpage,Tommaso Calderone,https://www.instagram.com/tom.calderone/
CALOVINI GIANGIACOMO,Camera Italia,CENTRODESTRA,https://www.facebook.com/giangiacomocalovini,Giangiacomo Calovini,https://www.instagram.com/giangiacomocalovini/
CANDIANI STEFANO,Camera Italia,CENTRODESTRA,https://www.facebook.com/StefanoCandianiLega,Stefano Candiani,https://www.instagram.com/candiani.stefano/
CANGIANO GEROLAMO,Camera Italia,CENTRODESTRA,https://www.facebook.com/gimmicangiano,Gimmi Cangiano,https://www.instagram.com/gimmicangiano/
CANNATA GIOVANNI LUCA,Camera Italia,CENTRODESTRA,https://www.facebook.com/glucacannata,Luca Cannata,https://www.instagram.com/lucacannatalaforzadeifatti/
CANNIZZARO FRANCESCO,Camera Italia,CENTRODESTRA,https://www.facebook.com/OnFrancescoCannizzaro,Francesco Cannizzaro,
CANTONE LUCIANO,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/lucianocantone.m5s,Luciano Cantone,https://www.instagram.com/lucianocantone.m5s/
CAPARVI VIRGINIO,Camera Italia,CENTRODESTRA,https://www.facebook.com/VirginioCaparvi.LEGA,Virginio Caparvi,https://www.instagram.com/virginiocaparvi/
CAPPELLACCI UGO,Camera Italia,CENTRODESTRA,https://www.facebook.com/ugo.cappellacci,Ugo Cappellacci,
CAPPELLETTI ENRICO,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/cappelletti.m5s,Enrico Cappelletti,https://www.instagram.com/enricocappelletti_presidente/
CARAMIELLO ALESSANDRO,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/PortavoceConsiglioComunaleM5SPortici,Alessandro Caramiello,https://www.instagram.com/alessandrocaramiello/
CARETTA MARIA CRISTINA,Camera Italia,CENTRODESTRA,https://www.facebook.com/MariaCristinaCaretta,Maria Cristina Caretta,
CARFAGNA MARIA ROSARIA,Camera Italia,TERZO POLO,https://www.facebook.com/CarfagnaMara,Mara Carfagna,https://www.instagram.com/maracarfagna/
CARLONI MIRCO,Camera Italia,CENTRODESTRA,https://www.facebook.com/carlonimirco,Mirco Carloni,https://www.instagram.com/mircocarloni/
CARMINA IDA,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/grilliniempedoclini,Porto Empedocle - Ida Carmina,
CAROTENUTO DARIO,Camera Italia,MOVIMENTO 5 STELLE,,,
CASASCO MAURIZIO,Camera Italia,CENTRODESTRA,https://www.facebook.com/casasco.m,Maurizio Casasco,https://www.instagram.com/mauriziocasasco/
CASO ANTONIO,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/antoniocasoM5S,Antonio Caso,
CASTIGLIONE GIUSEPPE,Camera Italia,TERZO POLO,https://www.facebook.com/g.castiglione,Giuseppe Castiglione,
CATTANEO ALESSANDRO,Camera Italia,CENTRODESTRA,https://www.facebook.com/alessandro.cattaneoii,Alessandro Cattaneo,https://www.instagram.com/cattaneoale79/
CATTOI VANESSA,Camera Italia,CENTRODESTRA,https://www.facebook.com/VanessaCattoiOfficial,Vanessa Cattoi,https://www.instagram.com/vanessacattoi/
CAVANDOLI LAURA,Camera Italia,CENTRODESTRA,https://www.facebook.com/CavandoliLaura,Laura Cavandoli,https://www.instagram.com/la_cavandoli/
CAVO ILARIA,Camera Italia,CENTRODESTRA,https://www.facebook.com/ila.cavo,Ilaria Cavo,https://www.instagram.com/ilaria_cavo/
CECCHETTI FABRIZIO,Camera Italia,CENTRODESTRA,https://www.facebook.com/FabriCecchetti,Fabrizio Cecchetti,https://www.instagram.com/fabrizio.cecchetti/
CENTEMERO GIULIO,Camera Italia,CENTRODESTRA,https://www.facebook.com/gcentemero,Giulio Centemero,https://www.instagram.com/giulio_centemero/
CESA LORENZO,Camera Italia,CENTRODESTRA,https://www.facebook.com/LorenzoCesaUdc,Lorenzo Cesa,
CHIESA PAOLA MARIA,Camera Italia,CENTRODESTRA,https://www.facebook.com/PaolaMariaChiesa,Paola Chiesa,
CIABURRO MONICA,Camera Italia,CENTRODESTRA,https://www.facebook.com/monicaciaburro,Monica Ciaburro,https://www.instagram.com/monicaciaburro/
CIANCITTO FRANCESCO MARIA SALVATORE,Camera Italia,CENTRODESTRA,https://www.facebook.com/francescociancittoelezioni2022,Francesco Ciancitto - Fdi,https://www.instagram.com/francescociancitto/
CIANI PAOLO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/cianipaolo,Paolo Ciani,
CIOCCHETTI LUCIANO,Camera Italia,CENTRODESTRA,https://www.facebook.com/lciocchetti,Luciano Ciocchetti,https://www.instagram.com/ciocchettil/
CIRIELLI EDMONDO,Camera Italia,CENTRODESTRA,https://www.facebook.com/edmondocirielliofficial,Edmondo Cirielli,https://www.instagram.com/edmondocirielli/
COIN DIMITRI,Camera Italia,CENTRODESTRA,https://www.facebook.com/profile.php?id=100058041399026,Coin Dimitri,https://www.instagram.com/coindimitrideputato/
COLOSIMO CHIARA,Camera Italia,CENTRODESTRA,https://www.facebook.com/ChiaraColosimoOfficial,Chiara Colosimo,https://www.instagram.com/chiacolosimo/
COLUCCI ALESSANDRO,Camera Italia,CENTRODESTRA,https://www.facebook.com/AleColucciNCI,Ale Colucci,
COLUCCI ALFONSO,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/AlfonsoColucciIT,Alfonso Colucci,https://www.instagram.com/alfonsocolucci_ufficiale/
