Name,Twitter-Handle,Party,Gender
Bonelli Angelo,AngeloBonelli1,Alleanza Verdi Sinistra,M
Borrelli Francesco Emilio,NotizieFrance,Alleanza Verdi Sinistra,M
Dori Devis,DevisDori,Alleanza Verdi Sinistra,M
Evi Eleonora,EleonoraEvi,Alleanza Verdi Sinistra,F
Fratoianni Nicola,NFratoianni,Alleanza Verdi Sinistra,M
Ghirra Francesca,fraghirra,Alleanza Verdi Sinistra,F
Grimaldi Marco,marcogrimaldi_,Alleanza Verdi Sinistra,M
Mari Francesco,francomari4,Alleanza Verdi Sinistra,M
Piccolotti Elisabetta,BettaPiccolotti,Alleanza Verdi Sinistra,F
Soumahoro Aboubakar,aboubakar_soum,Alleanza Verdi Sinistra,M
Zanella Luana,veneziazanella,Alleanza Verdi Sinistra,F
Zaratti Filiberto,-----,Alleanza Verdi Sinistra,M
Benzoni Fabrizio,fabriziobenzoni,Azione - Italia Viva,M
Bonetti Elena,elenabonetti,Azione - Italia Viva,F
Bonifazi Francesco,FrancescoBonif1,Azione - Italia Viva,M
Boschi Maria Elena,meb,Azione - Italia Viva,F
Carfagna Maria Rosaria,mara_carfagna,Azione - Italia Viva,F
Castiglione Giuseppe,G_Castiglione,Azione - Italia Viva,M
Costa Enrico,Enrico__Costa,Azione - Italia Viva,M
D'alessio Antonio,-----,Azione - Italia Viva,M
De Monte Isabella,IsabellaDeMonte,Azione - Italia Viva,F
Del Barba Mauro,emmedibi,Azione - Italia Viva,M
Faraone Davide,davidefaraone,Azione - Italia Viva,M
Gadda Maria Chiara,McGadda,Azione - Italia Viva,F
Giachetti Roberto,bobogiac,Azione - Italia Viva,M
Grippo Valentina,AdamoPantano,Azione - Italia Viva,F
Gruppioni Naike,naike_gruppioni,Azione - Italia Viva,F
Marattin Luigi,marattin,Azione - Italia Viva,M
Pastorella Giulia,PastorellaGiu,Azione - Italia Viva,F
Richetti Matteo,MatteoRichetti,Azione - Italia Viva,M
Rosato Ettore,Ettore_Rosato,Azione - Italia Viva,M
Ruffino Daniela,DanielaRuffino2,Azione - Italia Viva,F
Sottanelli Giulio Cesare,ce_giulio,Azione - Italia Viva,M
Arruzzolo Giovanni,-----,Forza Italia,M
Bagnasco Roberto,RobBagnasco,Forza Italia,M
Barelli Paolo,-----,Forza Italia,M
Battilocchio Alessandro,AleBattilocchio,Forza Italia,M
Battistoni Francesco,frabattistoni,Forza Italia,M
Benigni Stefano,stefanobenigni,Forza Italia,M
Bergamini Deborah,DeborahBergamin,Forza Italia,F
Calderone Tommaso Antonino,TommasoCaldero1,Forza Italia,M
Cannizzaro Francesco,votacannizzaro,Forza Italia,M
Cappellacci Ugo,ugocappellacci,Forza Italia,M
Caroppo Andrea,caroppo_andrea,Forza Italia,M
Casasco Maurizio,casascomaurizio,Forza Italia,M
Cattaneo Alessandro,aleCattaneo79,Forza Italia,M
Cortelazzo Piergiorgio,pcortelazzo,Forza Italia,M
D'attis Mauro,MauroDattis,Forza Italia,M
Dalla Chiesa Rita,ritadallachiesa,Forza Italia,F
De Palma Vito,vitodepalma,Forza Italia,M
Fascina Marta Antonia,-----,Forza Italia,F
Ferrante Tullio,tullio_ferrante,Forza Italia,M
Gatta Giacomo Diego,-----,Forza Italia,M
Mangialavori Giuseppe Tommaso Vincenzo,g_mangialavori,Forza Italia,M
Marrocco Patrizia,MarroccoPatty,Forza Italia,F
Mazzetti Erica,Mazzettierica1,Forza Italia,F
Mule' Giorgio,giorgiomule,Forza Italia,M
Nevi Raffaele,raffaelenevi,Forza Italia,M
Orsini Andrea Giorgio Felice Maria,Andrors,Forza Italia,M
Pagano Nazario,NazarioPagano,Forza Italia,M
Patriarca Annarita,AnnaritaPatriar,Forza Italia,F
Pella Roberto,roberto_pella,Forza Italia,M
Pichetto Fratin Gilberto,gilpichetto,Forza Italia,M
Pittalis Pietro,PittalisPietro,Forza Italia,M
Polidori Catia,CatiaPolidori,Forza Italia,F
Rossello Cristina,AvvRossello,Forza Italia,F
Rubano Francesco Maria,FrancescoMRuban,Forza Italia,M
Russo Paolo Emilio,paoloerusso,Forza Italia,M
Saccani Gloria,-----,Forza Italia,F
Sala Fabrizio,fabri_sala,Forza Italia,M
Siracusano Matilde,mati_siracusano,Forza Italia,F
Sorte Alessandro,sortealex,Forza Italia,M
Squeri Luca,LucaSqueri,Forza Italia,M
Tajani Antonio,Antonio_Tajani,Forza Italia,M
Tassinari Rosaria,-----,Forza Italia,F
Tenerini Chiara,chiaratenerini2,Forza Italia,F
Tosi Flavio,FlavioTosiTW,Forza Italia,M
Albano Lucia,Lucia__Albano,Fratelli d'Italia,F
Almici Cristina,-----,Fratelli d'Italia,F
Ambrosi Alessia,AleAmbrosiTW,Fratelli d'Italia,F
Amich Vincenzo,-----,Fratelli d'Italia,M
Amorese Alessandro,-----,Fratelli d'Italia,M
Antoniozzi Alfredo,a_antoniozzi,Fratelli d'Italia,M
Baldelli Antonio,-----,Fratelli d'Italia,M
Bellucci Maria Teresa,MaresaBellucci,Fratelli d'Italia,F
Benvenuti Gostoli Stefano Maria,Ste_Benv_Gost,Fratelli d'Italia,M
Bignami Galeazzo,galeazzobignami,Fratelli d'Italia,M
Buonguerrieri Alice,-----,Fratelli d'Italia,F
